"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"3094","聯傑","","21,000","469,750","467,850",
"3130","一零四","","0","0","0",
"3164","景岳","","75,000","2,058,850","2,060,550",
"3167","大量","","24,000","1,082,600","1,096,400",
"3189","景碩","","154,000","7,567,600","7,591,750",
"3209","全科","","1,000","20,500","20,450",
"3231","緯創","","965,000","22,851,200","22,864,950",
"3257","虹冠電","","5,000","259,700","261,300",
"3266","昇陽","","2,000","22,000","22,100",
"3296","勝德","","33,000","461,300","470,100",
"3305","昇貿","","0","0","0",
"3308","聯德","","18,000","146,340","148,210",
"3311","閎暉","","21,000","353,400","353,900",
"3312","弘憶股","","11,128,000","93,555,880","93,674,540",
"3321","同泰","","2,000","28,550","28,800",
"3338","泰碩","","7,000","138,300","141,400",
"3346","麗清","","2,000","125,900","126,100",
"3356","奇偶","","150,000","4,447,100","4,492,600",
"3376","新日興","","90,000","6,991,900","7,024,500",
"3380","明泰","","374,000","7,415,250","7,470,150",
"3406","玉晶光","","6,415,000","2,163,158,000","2,175,888,000",
"3413","京鼎","","405,000","78,363,500","78,764,500",
"3416","融程電","","0","0","0",
"3419","譁裕","","127,000","2,174,400","2,167,750",
"3432","台端","Y","0","0","0",
"3437","榮創","","78,000","2,196,100","2,217,500",
"3443","創意","","4,716,000","1,252,349,000","1,260,858,500",
"3450","聯鈞","","133,000","13,423,600","13,543,600",
"3454","晶睿","","0","0","0",
"3481","群創","","2,654,000","29,467,400","29,523,950",
"3494","誠研","","12,238,000","123,195,140","123,387,690",
"3501","維熹","","1,000","51,200","51,200",
"3504","揚明光","","536,000","31,697,000","31,861,400",
"3514","昱晶","","409,000","6,490,050","6,501,700",
"3515","華擎","","656,000","51,703,000","51,353,000",
"3518","柏騰","","5,000","145,400","145,050",
"3519","綠能","","109,000","1,688,000","1,694,500",
"3528","安馳","","0","0","0",
"3532","台勝科","","484,000","56,067,500","56,169,000",
"3533","嘉澤","","163,000","31,194,000","31,228,500",
"3535","晶彩科","","26,000","337,350","342,500",
"3536","誠創","","31,000","360,400","357,400",
"3545","敦泰","","881,000","22,901,450","22,911,700",
"3550","聯穎","","10,000","206,800","206,300",
"3561","昇陽光電","","169,000","2,242,400","2,240,050",
"3576","新日光","","275,000","3,370,050","3,376,650",
"3579","尚志","","4,000","56,550","57,200",
"3583","辛耘","","42,000","2,366,300","2,368,200",
"3588","通嘉","","4,000","103,550","104,250",
"3591","艾笛森","","1,000","15,150","15,100",
"3596","智易","","619,000","34,515,900","34,531,200",
"3605","宏致","","1,000","26,200","26,000",
"3607","谷崧","","5,000","136,500","135,000",
"3617","碩天","","0","0","0",
"3622","洋華","","23,000","371,800","373,500",
"3645","達邁","","690,000","42,163,900","42,267,200",
"3653","健策","","26,000","1,585,700","1,604,100",
"3661","世芯-KY","","6,567,000","899,802,500","900,442,500",
"3665","貿聯-KY","","405,000","90,316,000","90,309,000",
"3669","圓展","","1,000","18,200","18,350",
"3673","TPK-KY","","1,265,000","82,152,500","82,222,400",
"3679","新至陞","","3,000","239,600","238,400",
"3682","亞太電","","79,000","692,620","696,140",
"3694","海華","","65,000","1,257,700","1,260,850",
"3698","隆達","","329,000","5,777,700","5,825,550",
"3702","大聯大","","390,000","15,566,200","15,572,050",
"3703","欣陸","","4,540,000","61,366,850","61,348,800",
"3704","合勤控","","8,000","105,300","105,300",
"3705","永信","","5,000","202,900","204,900",
"3706","神達","","29,000","932,350","931,800",
"3708","上緯投控","","7,481,000","1,159,678,000","1,159,686,500",
"3711","日月光投控","","16,431,000","1,329,984,800","1,336,110,500",
"4104","佳醫","","223,000","10,920,100","10,941,100",
"4106","雃博","","1,000","29,750","29,700",
"4108","懷特","","64,000","1,500,000","1,508,650",
"4119","旭富","","1,000","61,700","61,600",
"4133","亞諾法","","11,000","402,350","402,200",
