"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額"
"6023","元大期","","1,000","44,800","45,150"
"6026","福邦證","","11,000","170,500","171,400"
"6101","寬魚國際","","371,000","28,815,500","28,792,700"
"6104","創惟","","10,000","300,000","300,550"
"6109","亞元","","0","0","0"
"6111","大宇資","","30,000","2,594,600","2,589,800"
"6113","亞矽","","6,000","45,820","46,400"
"6114","久威","","0","0","0"
"6121","新普","","32,000","5,330,000","5,341,500"
"6122","擎邦","","0","0","0"
"6123","上奇","","2,613,000","154,026,400","152,682,600"
"6124","業強","","0","0","0"
"6125","廣運","","4,000","42,000","42,150"
"6126","信音","","23,000","290,300","292,350"
"6127","九豪","","2,869,000","64,144,550","64,198,500"
"6129","普誠","","4,000","30,280","30,280"
"6138","茂達","","31,000","1,407,800","1,409,050"
"6140","訊達","","0","0","0"
"6143","振曜","","9,000","292,150","293,100"
"6146","耕興","","5,000","827,500","827,000"
"6147","頎邦","","2,284,000","140,736,700","141,569,300"
"6151","晉倫","","0","0","0"
"6154","順發","","1,513,000","30,978,850","30,173,300"
"6156","松上","","7,000","134,750","133,750"
"6158","禾昌","","10,000","228,800","229,900"
"6160","欣技","","0","0","0"
"6161","捷波","","53,000","993,900","993,550"
"6163","華電網","","9,000","112,450","112,700"
"6170","統振","","2,000","22,000","21,900"
"6171","亞銳士","","133,000","1,767,200","1,794,150"
"6173","信昌電","","5,534,000","313,185,400","314,719,600"
"6174","安��","","0","0","0"
"6175","立敦","","342,000","13,824,050","13,828,350"
"6179","亞通","","1,000","37,700","37,650"
"6180","橘子","","2,686,000","176,484,100","175,997,400"
"6182","合晶","","17,955,000","868,569,700","870,638,800"
"6185","幃翔","","6,000","110,400","110,800"
"6186","新潤","","2,629,000","42,081,650","42,551,550"
"6187","萬潤","","8,000","509,600","514,600"
"6188","廣明","","12,000","324,500","324,850"
"6190","萬泰科","","6,000","78,300","78,900"
"6194","育富","","1,000","18,800","18,800"
"6195","詩肯","","0","0","0"
"006201","元大富櫃50","","4,000","54,160","54,160"
"6203","海韻電","","17,000","594,700","595,500"
"6204","艾華","","0","0","0"
"6207","雷科","","34,000","1,054,400","1,052,350"
"6208","日揚","","13,000","358,600","359,950"
"6210","慶生","","0","0","0"
"6212","理銘","","1,000","29,800","29,800"
"6217","中探針","","4,000","115,650","114,700"
"6218","豪勉","","0","0","0"
"6219","富旺","","14,000","179,250","178,400"
"6220","岳豐","","56,000","2,005,800","2,009,800"
"6221","晉泰","","5,000","136,250","137,500"
"6223","旺矽","","3,000","162,600","163,000"
"6227","茂綸","","43,000","954,700","963,400"
"6229","研通","","3,000","46,750","46,500"
"6231","系微","","1,000","36,800","36,600"
"6233","旺玖","","2,000","18,100","18,200"
"6234","高僑","","0","0","0"
"6237","驊訊","","53,000","1,479,000","1,482,250"
"6238","勝麗","","664,000","123,779,500","124,272,000"
"6240","松崗","","41,000","2,985,600","2,981,200"
"6244","茂迪","","198,000","4,095,750","4,119,650"
"6245","立端","","13,000","601,100","596,800"
"6246","臺龍","","1,000","18,050","18,050"
"6248","沛波","","0","0","0"
"6261","久元","","2,000","118,400","118,300"
"6263","普萊德","","0","0","0"
"6265","方土昶","","1,799,000","13,870,960","14,020,910"
"6266","泰詠","","2,000","29,850","30,000"
"6270","倍微","","196,000","2,720,300","2,724,500"
"6274","台燿","","1,230,000","107,576,000","107,517,700"
"6275","元山","","1,000","17,500","17,850"
"6279","胡連","","1,000","140,000","140,000"
"6284","佳邦","","414,000","17,788,800","17,654,550"
"6290","良維","","1,837,000","70,501,300","71,309,550"
"6292","迅德","","0","0","0"
"6294","智基","","17,000","2,160,500","2,164,500"
"6298","崴強","","134,000","3,397,250","3,411,000"
"6404","通訊-KY","","5,000","64,100","63,700"
"6411","晶焱","","428,000","39,667,300","39,838,700"
"6417","韋僑","","0","0","0"
"6426","統新","","14,000","746,300","745,600"
"6432","今展科","","4,000","81,450","82,550"
"6435","大中","","271,000","24,775,500","24,829,900"
