代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"3221","台嘉碩","27,000","0","27,000","0","0","0","27,000","0","27,000","0","0","0","0","0","0","0","0","0","0","0","0","27,000"
"3224","三顧","9,000","181,000","-172,000","0","0","0","9,000","181,000","-172,000","0","0","0","4,000","4,000","0","83,000","10,000","73,000","87,000","14,000","73,000","-99,000"
"3227","原相","128,000","184,000","-56,000","0","0","0","128,000","184,000","-56,000","0","0","0","0","0","0","8,000","97,000","-89,000","8,000","97,000","-89,000","-145,000"
"3228","金麗科","7,000","107,000","-100,000","0","0","0","7,000","107,000","-100,000","0","0","0","7,000","0","7,000","0","0","0","7,000","0","7,000","-93,000"
"3234","光環","16,000","5,000","11,000","0","0","0","16,000","5,000","11,000","0","0","0","0","3,000","-3,000","0","40,000","-40,000","0","43,000","-43,000","-32,000"
"3236","千如","10,000","29,000","-19,000","0","0","0","10,000","29,000","-19,000","0","0","0","0","0","0","10,000","39,000","-29,000","10,000","39,000","-29,000","-48,000"
"3259","鑫創","0","4,000","-4,000","0","0","0","0","4,000","-4,000","0","0","0","0","0","0","0","0","0","0","0","0","-4,000"
"3260","威剛","368,000","35,000","333,000","0","0","0","368,000","35,000","333,000","0","0","0","0","34,000","-34,000","66,000","8,000","58,000","66,000","42,000","24,000","357,000"
"3264","欣銓","582,000","381,000","201,000","0","0","0","582,000","381,000","201,000","250,000","200,000","50,000","4,000","2,000","2,000","10,000","34,000","-24,000","14,000","36,000","-22,000","229,000"
"3265","台星科","128,000","81,000","47,000","0","0","0","128,000","81,000","47,000","0","0","0","0","0","0","62,000","23,000","39,000","62,000","23,000","39,000","86,000"
"3268","海德威","0","0","0","0","0","0","0","0","0","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","-1,000"
"3272","東碩","13,000","28,000","-15,000","0","0","0","13,000","28,000","-15,000","0","0","0","0","0","0","0","0","0","0","0","0","-15,000"
"3276","宇環","0","0","0","0","0","0","0","0","0","0","0","0","0","2,000","-2,000","0","0","0","0","2,000","-2,000","-2,000"
"3284","太普高","0","0","0","0","0","0","0","0","0","0","0","0","0","6,000","-6,000","0","0","0","0","6,000","-6,000","-6,000"
"3287","廣寰科","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","-4,000"
"3289","宜特","27,000","9,000","18,000","0","0","0","27,000","9,000","18,000","10,000","0","10,000","0","1,000","-1,000","0","23,000","-23,000","0","24,000","-24,000","4,000"
"3290","東浦","0","0","0","0","0","0","0","0","0","0","0","0","2,000","0","2,000","0","0","0","2,000","0","2,000","2,000"
"3293","鈊象","6,000","31,000","-25,000","0","0","0","6,000","31,000","-25,000","20,000","0","20,000","0","0","0","15,000","26,000","-11,000","15,000","26,000","-11,000","-16,000"
"3294","英濟","0","10,000","-10,000","0","0","0","0","10,000","-10,000","0","0","0","0","2,000","-2,000","0","0","0","0","2,000","-2,000","-12,000"
"3299","帛漢","27,000","7,000","20,000","0","0","0","27,000","7,000","20,000","0","0","0","0","0","0","0","5,000","-5,000","0","5,000","-5,000","15,000"
"3310","佳穎","3,000","6,000","-3,000","0","0","0","3,000","6,000","-3,000","0","0","0","0","0","0","0","0","0","0","0","0","-3,000"
"3313","斐成","153,000","31,000","122,000","0","0","0","153,000","31,000","122,000","0","0","0","25,000","0","25,000","0","0","0","25,000","0","25,000","147,000"
"3317","尼克森","0","34,000","-34,000","0","0","0","0","34,000","-34,000","0","0","0","0","0","0","0","0","0","0","0","0","-34,000"
"3322","建舜電","0","0","0","0","0","0","0","0","0","0","0","0","0","2,000","-2,000","0","0","0","0","2,000","-2,000","-2,000"
"3323","加百裕","20,000","34,000","-14,000","0","0","0","20,000","34,000","-14,000","0","0","0","0","0","0","1,000","12,000","-11,000","1,000","12,000","-11,000","-25,000"
"3324","雙鴻","85,000","6,000","79,000","0","0","0","85,000","6,000","79,000","0","493,000","-493,000","0","0","0","10,000","14,000","-4,000","10,000","14,000","-4,000","-418,000"
"3325","旭品","4,000","0","4,000","0","0","0","4,000","0","4,000","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","3,000"
"3339","泰谷","0","0","0","0","0","0","0","0","0","0","0","0","1,000","1,000","0","0","0","0","1,000","1,000","0","0"
"3354","律勝","41,000","9,000","32,000","0","0","0","41,000","9,000","32,000","0","0","0","0","0","0","0","0","0","0","0","0","32,000"
"3362","先進光","193,000","136,000","57,000","0","0","0","193,000","136,000","57,000","0","0","0","0","0","0","125,000","27,000","98,000","125,000","27,000","98,000","155,000"
"3374","精材","459,000","124,000","335,000","0","0","0","459,000","124,000","335,000","0","0","0","0","0","0","344,000","56,000","288,000","344,000","56,000","288,000","623,000"
"3388","崇越電","2,000","2,000","0","0","0","0","2,000","2,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3390","旭軟","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","0","0","0","0","0","0","0","0","-3,000"
"3402","漢科","69,000","3,000","66,000","0","0","0","69,000","3,000","66,000","0","0","0","1,000","0","1,000","0","0","0","1,000","0","1,000","67,000"
"3426","台興","1,000","1,000","0","0","0","0","1,000","1,000","0","0","2,000","-2,000","0","0","0","0","0","0","0","0","0","-2,000"
"3428","光燿科","4,000","70,000","-66,000","0","0","0","4,000","70,000","-66,000","0","0","0","0","0","0","3,000","15,000","-12,000","3,000","15,000","-12,000","-78,000"
"3434","哲固","0","0","0","0","0","0","0","0","0","0","0","0","23,000","28,000","-5,000","0","0","0","23,000","28,000","-5,000","-5,000"
"3438","類比科","1,000","5,000","-4,000","0","0","0","1,000","5,000","-4,000","0","0","0","0","0","0","0","0","0","0","0","0","-4,000"
"3441","聯一光","2,000","6,000","-4,000","0","0","0","2,000","6,000","-4,000","0","0","0","3,000","3,000","0","0","0","0","3,000","3,000","0","-4,000"
"3444","利機","7,000","4,000","3,000","0","0","0","7,000","4,000","3,000","0","0","0","0","0","0","0","0","0","0","0","0","3,000"
"3452","益通","703,000","870,199","-167,199","0","0","0","703,000","870,199","-167,199","0","0","0","0","0","0","0","0","0","0","0","0","-167,199"
"3455","由田","13,000","2,000","11,000","0","0","0","13,000","2,000","11,000","0","0","0","0","0","0","5,000","0","5,000","5,000","0","5,000","16,000"
"3479","安勤","8,000","20,000","-12,000","0","0","0","8,000","20,000","-12,000","0","0","0","0","0","0","0","0","0","0","0","0","-12,000"
