"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="06774P","聯發科元大78售07","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="070791","奇力新兆豐77購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","36,000","66,000","-30,000","-30,000",
="070835","中石化日盛78購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="070808","聯德元大79購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="07272P","台積電統一7C售01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","428,000","458,000","-30,000","-30,000",
="07202P","旺宏富邦7A售07","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","356,000","386,000","-30,000","-30,000",
="071959","彩晶中信7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="072593","T50反1元大78購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","30,000","60,000","-30,000","-30,000",
="073072","友達元大77購02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="073580","深中小康和78購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="06970P","國巨凱基79售01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","26,000","56,000","-30,000","-30,000",
="070693","創意群益76購04","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="07237P","創意國泰7A售02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="072059","國泰金元大77購02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","70,000","100,000","-30,000","-30,000",
="07234P","鴻準日盛7A售01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="073180","奇力新群益77購04","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","2,000","32,000","-30,000","-30,000",
="073280","GIS台新78購03","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","120,000","150,000","-30,000","-30,000",
="073392","鴻準統一78購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="073333","瑞昱國泰78購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","123,000","153,000","-30,000","-30,000",
="073322","華南金麥證77購01","0","0","0","0","30,000","-30,000","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="074083","CFA50群益78購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="074366","和大群益78購04","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","338,000","368,000","-30,000","-30,000",
="077732","聯發科台新7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","20,000","50,000","-30,000","-30,000",
="077817","和大元大7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","213,000","243,000","-30,000","-30,000",
="078091","TPK台新7C購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="078191","T50反1台新81購02","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
"3416","融程電","2,000","32,000","-30,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-30,000",
"2906","高林","0","0","0","0","0","0","0","0","0","-30,000","0","30,000","-30,000","0","0","0","-30,000",
"2809","京城銀","356,000","392,000","-36,000","0","0","0","0","0","0","6,000","6,000","0","6,000","0","0","0","-30,000",
="075521","大成鋼康和79購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","9,000","40,000","-31,000","-31,000",
="074710","新光金日盛79購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","16,000","47,000","-31,000","-31,000",
="076934","正新富邦7A購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","20,000","51,000","-31,000","-31,000",
="076892","百和元大7A購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","649,000","680,000","-31,000","-31,000",
="077345","台泥中信7A購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","0","31,000","-31,000","-31,000",
="03325B","臺股指元大75熊04","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","0","31,000","-31,000","-31,000",
="06421P","臺股指群益78售06","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","0","31,000","-31,000","-31,000",
="07014P","南亞科元大79售07","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","31,000","62,000","-31,000","-31,000",
="07012P","南亞科統一79售01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","46,000","77,000","-31,000","-31,000",
="073380","英業達元富78購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","0","31,000","-31,000","-31,000",
="07348P","國泰金台新7B售01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","10,000","41,000","-31,000","-31,000",
="069700","強茂群益76購01","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","10,000","41,000","-31,000","-31,000",
="072852","大同麥證77購01","0","0","0","21,000","52,000","-31,000","0","0","0","-31,000","0","0","0","21,000","52,000","-31,000","-31,000",
"2516","新建","0","31,000","-31,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-31,000",
"2462","良得電","4,000","35,000","-31,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-31,000",
="077590","CFA50群益7A購03","0","0","0","0","0","0","0","0","0","-31,000","0","0","0","259,000","290,000","-31,000","-31,000",
="076955","信邦日盛7A購01","0","0","0","0","0","0","0","0","0","-32,000","0","0","0","0","32,000","-32,000","-32,000",
="077177","臺股指元大7B購08","0","0","0","0","0","0","0","0","0","-32,000","0","0","0","36,000","68,000","-32,000","-32,000",
="066465","台化元大76購01","0","0","0","0","0","0","0","0","0","-32,000","0","0","0","39,000","71,000","-32,000","-32,000",
="07136P","國巨凱基79售03","0","0","0","0","0","0","0","0","0","-32,000","0","0","0","2,000","34,000","-32,000","-32,000",
"3011","今皓","5,000","37,000","-32,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-32,000",
"1604","聲寶","115,000","147,000","-32,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-32,000",
="077285","南亞科國票7A購01","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","0","33,000","-33,000","-33,000",
="077133","南亞科富邦7C購01","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","27,000","60,000","-33,000","-33,000",
="076842","智邦國票7A購01","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","110,000","143,000","-33,000","-33,000",
="076787","新光鋼日盛7A購01","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","98,000","131,000","-33,000","-33,000",
="076050","國泰金元大79購04","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","736,000","769,000","-33,000","-33,000",
="075969","旺宏群益7A購02","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","367,000","400,000","-33,000","-33,000",
="076209","亞翔元大79購01","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","21,000","54,000","-33,000","-33,000",
="06512P","國泰金元大77售03","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","37,000","70,000","-33,000","-33,000",
="06605P","台灣50永豐77售04","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","160,000","193,000","-33,000","-33,000",
="069554","日月光元富75購02","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","73,000","106,000","-33,000","-33,000",
="070210","道瓊反統一78購02","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","0","33,000","-33,000","-33,000",
="07188P","南亞科玉山7A售02","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","0","33,000","-33,000","-33,000",
="071196","大同元大77購02","0","0","0","0","0","0","0","0","0","-33,000","0","0","0","72,000","105,000","-33,000","-33,000",
"2033","佳大","10,000","44,000","-34,000","0","0","0","0","0","0","1,000","1,000","0","1,000","0","0","0","-33,000",
"9924","福興","0","33,000","-33,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-33,000",
"6131","悠克","3,000","36,000","-33,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-33,000",
="074868","聯發科群益7A購01","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","6,000","40,000","-34,000","-34,000",
="075165","和大兆豐7A購02","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","1,000","35,000","-34,000","-34,000",
="070117","宏達電兆豐76購01","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","0","34,000","-34,000","-34,000",
="05637P","宏達電兆豐75售01","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","1,000","35,000","-34,000","-34,000",
="05671P","晶電日盛75售01","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","1,861,000","1,895,000","-34,000","-34,000",
="070597","亞光元富76購02","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","2,000","36,000","-34,000","-34,000",
="07305P","聯發科凱基7A售06","0","0","0","0","0","0","0","0","0","-34,000","0","0","0","100,000","134,000","-34,000","-34,000",
