"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
"1808","潤隆","321","231","0","4,606","4,696","61,118","3","18","0","30","45","61,118","5","",
"1809","中釉","22","20","0","4,801","4,803","41,760","0","0","0","0","0","41,760","0","",
"1810","和成","3","6","0","23,067","23,064","92,463","0","0","0","1","1","92,463","0","",
"1817","凱撒衛","1","0","0","791","792","18,150","0","0","0","3","3","18,150","0","",
"1902","台紙","34","13","0","9,476","9,497","100,500","0","0","0","36","36","100,500","0","",
"1903","士紙","1","0","0","2,161","2,162","65,009","0","0","0","10","10","65,009","0","",
"1904","正隆","415","364","0","17,674","17,725","277,068","0","192","0","10","202","277,068","4","",
"1905","華紙","121","20","0","12,931","13,032","275,708","0","1","0","3","4","275,708","0","",
"1906","寶隆","1","23","60","6,566","6,484","37,750","0","0","0","45","45","37,750","0","",
"1907","永豐餘","251","180","0","24,568","24,639","415,092","11","20","0","14","23","415,092","40","",
"1909","榮成","85","147","0","22,802","22,740","283,421","23","51","0","286","314","283,421","0","",
"2002","中鋼","719","471","0","9,666","9,914","3,933,715","0","36","0","43","79","3,933,715","38","",
